"","NOME","PARTIDO","UF","MINISTERIO_DA_AGRICULTURA_PECUARIA_E_ABASTECIMENTO","MINISTERIO_DA_SAUDE","MINISTERIO_DAS_CIDADES","MINISTERIO_DO_DESENV_SOCIAL_E_COMBATE_A_FOME","MINISTERIO_DO_ESPORTE","MINISTERIO_DO_TURISMO"
"1","ADALBERTO CAVALCANTI","PTB","PE",0,0,0,0,1179750,987000
"2","ADELSON BARRETO","PR","SE",0,350000,0,0,0,0
"3","ADEMIR CAMILO","PTN","MG",0,0,3023268.17,130000,0,243750
"4","ADILTON SACHETTI","PSB","MT",0,2e+05,1379000,0,243750,0
"5","AELTON FREITAS","PR","MG",1005372,2549925,2258501.74,0,633750,163361
"6","AFONSO FLORENCE","PT","BA",0,0,3270002.48,0,0,0
"7","AFONSO HAMM","PP","RS",2296602.75,2024979.92,1510704,350000,499200,998400
"8","AFONSO MOTTA","PDT","RS",487500,1e+05,2459900,0,682500,0
"9","AGUINALDO RIBEIRO","PP","PB",243750,0,5500443.31,0,653250,585000
"10","ALAN RICK","PRB","AC",0,0,0,0,880125,0
"11","ALBERTO FILHO","PMDB","MA",682500,3912388,2906529.01,0,0,877500
"12","ALCEU MOREIRA","PMDB","RS",1682140.2,2960340,245850,443750,1435312.12,1316250
"13","ALEX CANZIANI","PTB","PR",678453.75,1e+05,0,322115,1755000,1002272.7
"14","ALEX MANENTE","PPS","SP",0,0,0,0,0,2405000
"15","ALEXANDRE BALDY","PTN","GO",1199250,0,2212650,0,0,119880
"16","ALEXANDRE LEITE","DEM","SP",0,1799938.95,3460100,0,460313.1,0
"17","ALEXANDRE SERFIOTIS","PMDB","RJ",0,6200000,0,0,1023750,0
"18","ALFREDO KAEFER","PSL","PR",1121250,3384708.98,3843100,0,487500,0
"19","ALFREDO NASCIMENTO","PR","AM",0,1750000,0,0,0,0
"20","ALICE PORTUGAL","PCdoB","BA",0,5e+06,404930,0,2233800,390237.9
"21","ALIEL MACHADO","REDE","PR",658125,0,0,0,1365000,0
"22","ALTINEU CORTES","PMDB","RJ",0,0,3557189,0,0,0
"23","ANA PERUGINI","PT","SP",0,0,541150,0,0,0
"24","ANDRE DE PAULA","PSD","PE",0,0,3778671.73,0,0,0
"25","ANDRE FIGUEIREDO","PDT","CE",0,0,1234834.46,0,926250,0
"26","ANDRE FUFUCA","PP","MA",0,0,0,0,0,654789.65
"27","ANDRE MOURA","PSC","SE",1188525,0,2168800,0,243750,360750
"28","ANDRES SANCHEZ","PT","SP",0,550000,0,0,780000,0
"29","ANGELIM","PT","AC",0,0,0,0,646776.98,0
"30","ANIBAL GOMES","PMDB","CE",0,0,1837046.59,0,0,2244525.08
"31","ANTONIO BRITO","PSD","BA",0,190262,2277150.74,0,974238.52,1072500
"32","ANTONIO BULHOES","PRB","SP",0,2040564,3603633.42,0,0,1950000
"33","ANTONIO CARLOS MENDES THAME","PV","SP",0,6196828,0,0,0,0
"34","ANTONIO IMBASSAHY","PSDB","BA",0,3e+05,2150253,0,0,0
"35","ANTONIO JACOME","PTN","RN",0,0,1131750,0,731250,243750
"36","ARIOSTO HOLANDA","PDT","CE",0,0,0,0,243750,0
"37","ARLINDO CHINAGLIA","PT","SP",438750,7e+05,2318626.33,0,0,2192988.53
"38","ARNALDO FARIA DE SA","PTB","SP",0,7090668.9,2290613.07,0,2028975,243750
"39","ARNALDO JARDIM","PPS","SP",438750,1699996.24,994690,0,2574000,253500
"40","ARNALDO JORDY","PPS","PA",723296.93,0,542550,0,0,682500
"41","ARNON BEZERRA","PTB","CE",0,3650300,0,0,0,1222116
"42","AROLDE DE OLIVEIRA","PSC","RJ",0,0,0,0,0,3880500
"43","ARTHUR LIRA","PP","AL",0,849999.2,0,0,0,487500
"44","ARTHUR OLIVEIRA MAIA","PPS","BA",0,2699985.18,245850,0,487500,0
"45","ASSIS CARVALHO","PT","PI",0,0,1481856,0,0,0
"46","ASSIS DO COUTO","PDT","PR",1696500,3912241.11,1746908,0,487500,0
"47","ATILA LINS","PSD","AM",0,0,0,0,948075.38,0
"48","ATILA LIRA","PSB","PI",0,5e+05,3877699.46,0,0,0
"49","AUGUSTO COUTINHO","SD","PE",0,2e+05,5148969.1,0,1215000,0
"50","AUREO","SD","RJ",0,0,922326,0,619880.62,0
"51","BALEIA ROSSI","PMDB","SP",0,0,737550,243750,243750,0
"52","BEBETO","PSB","BA",0,2e+05,0,0,1121250,0
"53","BENEDITA DA SILVA","PT","RJ",0,0,0,0,2597300,0
"54","BENITO GAMA","PTB","BA",250000,350000,2151820,0,292500,780000
"55","BENJAMIN MARANHAO","SD","PB",390000,380648.26,1377600,0,1595887,243750
"56","BETINHO GOMES","PSDB","PE",0,0,1417815,0,0,0
"57","BETO FARO","PT","PA",0,2e+06,0,0,975000,0
"58","BETO MANSUR","PRB","SP",146250,0,3853860.74,0,0,0
"59","BETO ROSADO","PP","RN",0,0,2149020,0,0,0
"60","BETO SALAME","PP","PA",0,0,1826288.25,0,0,0
"61","BILAC PINTO","PR","MG",243750,1733225,2833951.95,0,243750,0
"62","BOHN GASS","PT","RS",731250,3256942,2289571.74,282750,1218750,243750
"63","BONIFACIO DE ANDRADA","PSDB","MG",0,0,2366600,0,0,0
"64","BRUNA FURLAN","PSDB","SP",0,5e+05,2243979.4,0,243750,0
"65","BRUNNY","PR","MG",0,150000,0,0,2130000,0
"66","BRUNO ARAUJO","PSDB","PE",609500,0,1094481.09,0,195000,1250828.48
"67","BRUNO COVAS","PSDB","SP",0,0,245850,0,0,0
"68","CABO DACIOLO","PTdoB","RJ",0,6200000,0,0,0,0
"69","CABO SABINO","PR","CE",0,0,493100,0,0,0
"70","CACA LEAO","PP","BA",0,0,551040,0,0,0
"71","CAETANO","PT","BA",0,0,0,0,487500,0
"72","CAPITAO AUGUSTO","PR","SP",0,1e+05,245850,0,450000,0
"73","CARLOS EDUARDO CADOCA","PDT","PE",0,508254.55,4080456.04,0,1215000,0
"74","CARLOS GOMES","PRB","RS",438750,0,0,0,4046250,975000
"75","CARLOS MANATO","SD","ES",0,635173,0,643966,3033569.17,487500
"76","CARLOS MELLES","DEM","MG",458250,2504354.91,2513125.15,0,926250,243750
"77","CARLOS SAMPAIO","PSDB","SP",0,1599992.36,2220416.48,0,1413750,0
"78","CARLOS ZARATTINI","PT","SP",243750,4e+05,2090372.72,0,1384500,0
"79","CARMEN ZANOTTO","PPS","SC",97500,0,0,0,0,2e+05
"80","CELIO SILVEIRA","PSDB","GO",0,0,493100,0,243750,0
"81","CELSO MALDANER","PMDB","SC",1239437.55,3062208.24,1848722.72,0,975000,828750
"82","CELSO RUSSOMANNO","PRB","SP",0,1500000,0,0,0,0
"83","CESAR HALUM","PRB","TO",0,2249993.4,3252394.46,0,487500,0
"84","CESAR SOUZA","PSD","SC",243750,0,0,0,0,0
"85","CHICO D'ANGELO","PT","RJ",0,0,1482100,0,0,0
"86","CHICO LOPES","PCdoB","CE",0,474589,2366600,5e+05,682500,0
"87","CHRISTIANE DE SOUZA YARED","PR","PR",1023750,0,0,0,0,0
"88","CICERO ALMEIDA","PMDB","AL",0,2661097,0,0,0,0
"89","CLAUDIO CAJADO","DEM","BA",0,1255334.91,1221071.11,0,1501846.12,706875
"90","CLEBER VERDE","PRB","MA",0,0,0,0,975000,1151030.4
"91","COVATTI FILHO","PP","RS",390000,1e+05,737550,0,1462500,1706250
"92","DAMIAO FELICIANO","PDT","PB",390000,1199300,1479300,0,2769265.2,0
"93","DAMINA PEREIRA","PSL","MG",292500,0,0,0,1706250,487500
"94","DANIEL ALMEIDA","PCdoB","BA",0,3044993.85,1475100,0,731250,0
"95","DANIEL COELHO","PSDB","PE",0,0,1530777.59,0,0,0
"96","DANIEL VILELA","PMDB","GO",975000,0,295300,0,305550.38,1307438.15
"97","DANILO CABRAL","PSB","PE",2632500,0,1197651.73,0,0,0
"98","DANILO FORTE","PSB","CE",886414,1399990,1797871.74,0,0,243750
"99","DANRLEI DE DEUS HINTERHOLZ","PSD","RS",0,4514731,4920163.81,0,1667822.32,0
"100","DARCISIO PERONDI","PMDB","RS",2467323.3,3580762,1623450,2e+05,1357339.43,975000
"101","DAVIDSON MAGALHAES","PCdoB","BA",0,0,0,0,0,1657500
"102","DECIO LIMA","PT","SC",0,6e+05,3857416.63,350000,0,341250
"103","DELEGADO EDER MAURO","PSD","PA",0,0,987600,0,0,0
"104","DELEGADO EDSON MOREIRA","PR","MG",0,478995,0,0,243750,0
"105","DELEGADO WALDIR","PR","GO",97500,0,640050,0,0,0
"106","DELEY","PTB","RJ",0,6200000,0,585000,1365000,0
"107","DIEGO ANDRADE","PSD","MG",1287000,2339779,1792980,0,994500,0
"108","DIEGO GARCIA","PHS","PR",195000,849920,245850,682500,828750,779238.53
"109","DILCEU SPERAFICO","PP","PR",2330250,158244,1475100,0,614250,0
"110","DIMAS FABIANO","PP","MG",963300,2836443,983400,0,487500,0
"111","DOMINGOS NETO","PSD","CE",1085000,0,0,0,0,0
"112","DOMINGOS SAVIO","PSDB","MG",0,3440390.25,2948014.52,0,255450,0
"113","DR. JORGE SILVA","PHS","ES",1355780.4,3802989.4,679115.5,0,2048819.17,0
"114","DR. SINVAL MALHEIROS","PTN","SP",0,2623000,0,0,0,0
"115","DUARTE NOGUEIRA","PSDB","SP",0,2450000,3495550,0,926250,243750
"116","DULCE MIRANDA","PMDB","TO",292500,0,493100,341250,681738.53,633750
"117","EDINHO ARAUJO","PMDB","SP",146250,2719200,1475100,0,0,981250
"118","EDINHO BEZ","PMDB","SC",792250,1220963,2517834.06,3e+05,314175.22,487500
"119","EDIO LOPES","PR","RR",0,2912797,0,0,0,0
"120","EDMAR ARRUDA","PSD","PR",117000,1550000,2012480.76,1243750,877500,0
"121","EDUARDO BARBOSA","PSDB","MG",487500,0,2787383.61,2057929,858000,0
"122","EDUARDO BOLSONARO","PSC","SP",0,1165000,0,0,195000,0
"123","EDUARDO CUNHA","PMDB","RJ",0,250000,7342744.74,0,0,0
"124","EDUARDO CURY","PSDB","SP",0,1350000,0,0,0,0
"125","EDUARDO DA FONTE","PP","PE",926070,1e+06,711372.72,0,780000,0
"126","EFRAIM FILHO","DEM","PB",0,1049985.4,3488729,0,731250,243750
"127","ELCIONE BARBALHO","PMDB","PA",877500,0,2961400,0,0,1444950
"128","ELI CORREA FILHO","DEM","SP",0,1290000,1931150.45,0,0,0
"129","ELMAR NASCIMENTO","DEM","BA",0,0,0,0,487500,487500
"130","ENIO VERRI","PT","PR",0,750000,1825450,0,731250,0
"131","ERIKA KOKAY","PT","DF",0,0,211012.48,0,0,0
"132","ERIVELTON SANTANA","PEN","BA",0,5e+05,2863900,8e+05,0,0
"133","EROS BIONDINI","PROS","MG",0,5886393.76,4066370,0,0,0
"134","ESPERIDIAO AMIN","PP","SC",1705275,0,1780828.01,3e+05,507000,487500
"135","EVANDRO GUSSI","PV","SP",0,0,0,0,0,731250
"136","EXPEDITO NETTO","PSD","RO",0,450000,0,0,0,0
"137","EZEQUIEL FONSECA","PP","MT",536250,3e+05,787000,0,0,0
"138","FABIANO HORTA","PT","RJ",0,0,0,0,0,877500
"139","FABIO FARIA","PSD","RN",1413750,1737374,5524050.75,0,243750,0
"140","FABIO GARCIA","PSB","MT",0,0,0,0,0,591776.98
"141","FABIO MITIDIERI","PSD","SE",0,0,0,0,0,587700
"142","FABIO RAMALHO","PMDB","MG",0,2329479.31,1968200,0,0,1267500
"143","FABIO REIS","PMDB","SE",1950000,0,876279.01,0,0,243750
"144","FABIO SOUSA","PSDB","GO",0,0,1150233.56,0,320000,0
"145","FATIMA BEZERRA","PT","RN",243750,0,1476500,0,487500,1462500
"146","FAUSTO PINATO","PP","SP",0,1160000,0,0,1002300,470934
"147","FELIPE BORNIER","PROS","RJ",0,0,3559000,0,0,0
"148","FELIPE MAIA","DEM","RN",536250,0,3139006.59,0,0,2145000
"149","FERNANDO COELHO FILHO","PSB","PE",0,1500000,1972400,0,292500,0
"150","FERNANDO FRANCISCHINI","SD","PR",97500,0,738950,0,731250,0
"151","FERNANDO MONTEIRO","PP","PE",0,490510,0,0,0,341250
"152","FERNANDO TORRES","PSD","BA",0,0,2764801.64,0,877500,0
"153","FLAVIA MORAIS","PDT","GO",438750,580537,788400,0,0,3217500
"154","FLAVIANO MELO","PMDB","AC",1389034.72,4067972,0,0,306196.8,0
"155","FLAVINHO","PSB","SP",0,5e+05,0,0,0,0
"156","FLAVIO NOGUEIRA","PDT","PI",430483.95,0,0,0,0,4072575
"157","FLORIANO PESARO","PSDB","SP",0,5e+05,0,0,0,0
"158","FRANCISCO CHAPADINHA","PTN","PA",0,0,0,0,975000,780000
"159","FRANCISCO FLORIANO","DEM","RJ",0,0,4403500.75,0,0,0
"160","GABRIEL GUIMARAES","PT","MG",0,0,983400,0,0,487500
"161","GENECIAS NORONHA","SD","CE",0,0,5608978.43,0,0,0
"162","GEORGE HILTON","PROS","MG",0,5e+05,1281500,0,1408125.22,0
"163","GERALDO RESENDE","PSDB","MS",0,3890269,1640499.51,412300,975000,731250
"164","GIACOBO","PR","PR",238875,5e+05,2219650,0,341250,0
"165","GILBERTO NASCIMENTO","PSC","SP",0,360000,0,0,0,0
"166","GIOVANI CHERINI","S.PART.","RS",1920888.45,2948696.96,2458500,0,1218750,243750
"167","GIUSEPPE VECCI","PSDB","GO",234000,1e+05,1229250,0,243750,243750
"168","GIVALDO CARIMBAO","PHS","AL",0,799992.06,0,0,0,0
"169","GIVALDO VIEIRA","PT","ES",150000,0,0,0,0,0
"170","GLAUBER BRAGA","PSOL","RJ",0,5e+05,0,0,1453015.2,0
"171","GONZAGA PATRIOTA","PSB","PE",585000,3192581.93,925460,630000,1e+05,0
"172","GORETE PEREIRA","PR","CE",390000,1472115,2130229,0,0,1465866
"173","GOULART","PSD","SP",0,0,983400,0,975000,0
"174","GUILHERME MUSSI","PP","SP",97500,1e+05,4837774.46,0,390000,364967
"175","HEITOR SCHUCH","PSB","RS",1823250,1e+05,245850,0,0,0
"176","HELDER SALOMAO","PT","ES",0,0,245850,341250,780000,0
"177","HELIO LEITE","DEM","PA",0,0,0,682500,0,606173.1
"178","HENRIQUE FONTANA","PT","RS",0,1056052,983400,0,2925000,1560000
"179","HERCULANO PASSOS","PSD","SP",0,0,2468300,0,1462500,0
"180","HERMES PARCIANELLO","PMDB","PR",146250,2545136,2599063.03,0,0,731250
"181","HEULER CRUVINEL","PSD","GO",243750,274529.73,2079720.77,0,0,1184625
"182","HILDO ROCHA","PMDB","MA",0,0,0,0,390000,390000
"183","HISSA ABRAHAO","PDT","AM",0,0,0,0,0,4506875.1
"184","HUGO LEAL","PSB","RJ",0,6e+05,0,5e+05,1228500,0
"185","HUGO MOTTA","PMDB","PB",1950000,1450000,4321337.59,0,1072500,487500
"186","INDIO DA COSTA","PSD","RJ",0,6200000,0,0,0,0
"187","IRACEMA PORTELLA","PP","PI",497250,0,1475100,0,731250,0
"188","IRAJA ABREU","PSD","TO",2568119.14,290361,4671150,0,0,0
"189","IRMAO LAZARO","PSC","BA",0,0,640050,0,945750,243750
"190","IVAN VALENTE","PSOL","SP",0,1500000,0,0,0,0
"191","JAIME MARTINS","PSD","MG",577766.09,4084155.06,2648029,0,536250,243750
"192","JANDIRA FEGHALI","PCdoB","RJ",0,2199933,0,590000,0,0
"193","JARBAS VASCONCELOS","PMDB","PE",0,1146570,1776000,0,0,2827786.65
"194","JEAN WYLLYS","PSOL","RJ",0,3e+05,0,0,0,0
"195","JEFFERSON CAMPOS","PSD","SP",0,5050000,4264947.91,0,0,0
"196","JERONIMO GOERGEN","PP","RS",536250,1500000,3657546.79,0,487500,1462500
"197","JHC","PSB","AL",0,0,0,0,872625,0
"198","JO MORAES","PCdoB","MG",0,2049933.56,0,4e+05,536250,0
"199","JOAO ARRUDA","PMDB","PR",1163589.38,1100000,2212650,3e+05,487500,1218750
"200","JOAO CAMPOS","PRB","GO",0,1499269.98,196400,292500,0,0
"201","JOAO CARLOS BACELAR","PR","BA",0,3992490.8,1440699.75,0,0,0
"202","JOAO DERLY","REDE","RS",0,0,491700,0,3071250,243750
"203","JOAO FERNANDO COUTINHO","PSB","PE",0,0,938150,0,341250,0
"204","JOAO GUALBERTO","PSDB","BA",0,442142,0,0,0,0
"205","JOAO RODRIGUES","PSD","SC",0,305000,3991450,0,0,0
"206","JOAQUIM PASSARINHO","PSD","PA",975000,0,0,341250,0,0
"207","JORGE BOEIRA","PP","SC",390000,705550,1963910,2e+05,0,0
"208","JORGE CORTE REAL","PTB","PE",0,1312385,808867.78,0,0,3300000
"209","JORGE SOLLA","PT","BA",0,2e+05,0,0,0,0
"210","JORGE TADEU MUDALEN","DEM","SP",0,3071975,2289503.96,165000,0,0
"211","JORGINHO MELLO","PR","SC",292500,764598.18,1328150,750000,0,333450
"212","JOSE AIRTON CIRILO","PT","CE",0,0,1677100,0,1316250,0
"213","JOSE CARLOS ALELUIA","DEM","BA",0,2e+06,0,0,438750,292500
"214","JOSE CARLOS ARAUJO","PR","BA",633750,269998.12,2420865.72,0,1335750,244091.25
"215","JOSE GUIMARAES","PT","CE",0,458272,0,0,1950000,2074815.6
"216","JOSE MENTOR","PT","SP",97500,1295999.96,2269100,0,975000,487500
"217","JOSE NUNES","PSD","BA",292500,1370012.06,1694707.59,0,390000,585000
"218","JOSE OTAVIO GERMANO","PP","RS",0,0,2858300,0,2193750,1046930.63
"219","JOSE PRIANTE","PMDB","PA",1647750,406580,0,0,0,0
"220","JOSE ROCHA","PR","BA",0,1447653.72,2174490.99,0,243750,1267500
"221","JOSE STEDILE","PSB","RS",1267500,250000,3164450.74,0,877500,0
"222","JOSI NUNES","PMDB","TO",292500,0,3455900,0,585000,780000
"223","JOSIAS GOMES","PT","BA",633750,492800,0,0,0,0
"224","JOSUE BENGTSON","PTB","PA",0,1799980.61,2962800,0,0,0
"225","JOVAIR ARANTES","PTB","GO",803804.63,1524032.2,4030673.32,0,0,1648551.95
"226","JULIA MARINHO","PSC","PA",975000,0,541777.59,0,0,243750
"227","JULIO CESAR","PSD","PI",0,0,2420258.48,0,1133242.5,518812.13
"228","JULIO DELGADO","PSB","MG",390000,1709920,2361269,0,731250,0
"229","JULIO LOPES","PP","RJ",390000,2187900,4326328.65,0,0,0
"230","JUNIOR MARRECA","PEN","MA",0,0,0,0,292500,0
"231","JUSCELINO FILHO","DEM","MA",682500,0,0,0,390000,0
"232","JUTAHY JUNIOR","PSDB","BA",0,1890270,3160600,0,0,314062.13
"233","KEIKO OTA","PSB","SP",0,7871215.52,983400,0,291738.52,0
"234","LAERCIO OLIVEIRA","SD","SE",0,0,2764756,0,0,243750
"235","LAUDIVIO CARVALHO","SD","MG",0,0,0,0,97500,0
"236","LAZARO BOTELHO","PP","TO",0,2899993.4,4006414.7,0,0,440359
"237","LEANDRE","PV","PR",0,0,1086500,0,975000,0
"238","LELO COIMBRA","PMDB","ES",1248265.2,1184000,245850,150000,1270000,1058250
"239","LEO DE BRITO","PT","AC",0,0,0,0,243750,0
"240","LEONARDO MONTEIRO","PT","MG",0,1547139.7,2150404.45,0,731250,0
"241","LEONARDO PICCIANI","PMDB","RJ",0,999996,245850,0,1974322.35,1803750
"242","LEONARDO QUINTAO","PMDB","MG",0,3373770,3448545.69,0,1085000,487500
"243","LEONIDAS CRISTINO","PDT","CE",0,3e+05,0,0,0,1072500
"244","LEOPOLDO MEYER","PSB","PR",507000,1300438,1576800,410000,624000,487500
"245","LINCOLN PORTELA","PRB","MG",0,1100000,2838520,0,828750,389610
"246","LOBBE NETO","PSDB","SP",0,0,0,0,682500,0
"247","LUCAS VERGILIO","SD","GO",0,0,491700,0,926250,877500
"248","LUCIANA SANTOS","PCdoB","PE",0,568905,2833819,0,0,0
"249","LUCIANO DUCCI","PSB","PR",0,0,790378,0,243750,0
"250","LUCIO VIEIRA LIMA","PMDB","BA",390000,1650000,4006666.75,0,0,926250
"251","LUIS CARLOS HEINZE","PP","RS",1072566.3,3010000,3800300.74,380250,2047500,0
"252","LUIS TIBE","PTdoB","MG",110889,2418401,1519129,0,731250,390000
"253","LUIZ CARLOS BUSATO","PTB","RS",3435276,3040000,1229250,243750,975000,975000
"254","LUIZ CARLOS HAULY","PSDB","PR",146250,4199234,491700,2e+05,3812250,0
"255","LUIZ COUTO","PT","PB",0,0,3662215,0,243750,0
"256","LUIZ FERNANDO FARIA","PP","MG",750354,199920,2016250,0,975000,487500
"257","LUIZ NISHIMORI","PR","PR",2271750,2850000,1592018.17,0,97500,243750
"258","LUIZ SERGIO","PT","RJ",487500,4e+05,1470810,0,390000,0
"259","LUIZA ERUNDINA","PSOL","SP",0,2499997.4,0,0,0,0
"260","MACEDO","PP","CE",0,0,493100,0,0,0
"261","MAGDA MOFATTO","PR","GO",0,499997.75,5178637.7,0,0,602391
"262","MANDETTA","DEM","MS",0,8874908.25,3860949.76,0,0,0
"263","MANOEL JUNIOR","PMDB","PB",0,1755634.76,4462224.04,0,0,0
"264","MARA GABRILLI","PSDB","SP",0,4574775,1723750,0,0,0
"265","MARCELO AGUIAR","DEM","SP",0,829000,2859033.55,0,0,0
"266","MARCELO ALVARO ANTONIO","PR","MG",0,199558,0,0,877500,1e+05
"267","MARCELO ARO","PHS","MG",195000,1350000,0,0,828750,0
"268","MARCELO BELINATI","PP","PR",0,6e+05,0,351000,0,0
"269","MARCELO CASTRO","PMDB","PI",2352675,0,1441140,0,0,0
"270","MARCELO MATOS","PHS","RJ",0,0,1346061.07,0,0,0
"271","MARCELO SQUASSONI","PRB","SP",0,0,0,0,731250,975000
"272","MARCIO ALVINO","PR","SP",0,250000,0,0,390000,0
"273","MARCIO MARINHO","PRB","BA",0,3382461.05,1764710,0,253500,0
"274","MARCO ANTONIO CABRAL","PMDB","RJ",0,0,0,0,2340000,0
"275","MARCO MAIA","PT","RS",1868100,1431105.5,3059783.74,438750,487500,243750
"276","MARCO TEBALDI","PSDB","SC",1356000,1300000,3002592.55,0,487500,0
"277","MARCON","PT","RS",487500,1490237,2459900,0,1462500,731250
"278","MARCOS ABRAO","PPS","GO",585000,3e+05,338184.03,0,0,904801.95
"279","MARCOS MONTES","PSD","MG",1062750,1296957.88,2364069,0,867750,0
"280","MARCOS ROGERIO","DEM","RO",0,299999,0,0,0,0
"281","MARCOS SOARES","DEM","RJ",0,0,788400,0,0,0
"282","MARCUS PESTANA","PSDB","MG",390000,2877000,3459498.35,292500,243750,0
"283","MARCUS VICENTE","PP","ES",0,0,0,0,243750,0
