"","NOME","PARTIDO","UF","MINISTERIO_DA_AGRICULTURA_PECUARIA_E_ABASTECIMENTO","MINISTERIO_DA_SAUDE","MINISTERIO_DAS_CIDADES","MINISTERIO_DO_DESENV_SOCIAL_E_COMBATE_A_FOME","MINISTERIO_DO_ESPORTE","MINISTERIO_DO_TURISMO"
"284","MARGARIDA SALOMAO","PT","MG",409500,1934927.56,245850,0,1142531.47,0
"285","MARIA DO ROSARIO","PT","RS",0,749984.62,1032850,0,0,487500
"286","MARINALDO ROSENDO","PSB","PE",0,1e+05,295300,0,0,0
"287","MARINHA RAUPP","PMDB","RO",954789.22,1214107.26,0,0,341250,0
"288","MARIO HERINGER","PDT","MG",0,0,0,0,490000,487500
"289","MARQUINHO MENDES","PMDB","RJ",0,0,0,0,0,1950000
"290","MAURICIO QUINTELLA LESSA","PR","AL",584300,4912722.2,1158514.46,0,0,0
"291","MAURO BENEVIDES","PMDB","CE",0,0,2419897.77,0,0,0
"292","MAURO LOPES","PMDB","MG",2010827.33,296030,2312950,0,536250,0
"293","MAURO MARIANI","PMDB","SC",947812.13,2e+06,3189229,0,0,243750
"294","MAURO PEREIRA","PMDB","RS",738075,302000,2336615.22,0,682500,0
"295","MAX FILHO","PSDB","ES",0,0,423870,0,0,355875
"296","MIGUEL CORREA","PT","MG",0,0,2350158.02,0,243750,0
"297","MIGUEL HADDAD","PSDB","SP",0,0,1573610.04,0,0,0
"298","MIGUEL LOMBARDI","PR","SP",0,0,0,0,497250,0
"299","MILTON MONTI","PR","SP",0,3072000,3595037,0,1024505.62,0
"300","MIRO TEIXEIRA","REDE","RJ",0,2001955,0,5e+05,0,0
"301","MISAEL VARELLA","DEM","MG",0,1e+05,0,0,0,0
"302","MISSIONARIO JOSE OLIMPIO","DEM","SP",0,3801500,5829127.77,0,243750,0
"303","MOSES RODRIGUES","PMDB","CE",0,8e+05,0,0,1462500,438750
"304","NELSON MARCHEZAN JUNIOR","PSDB","RS",2562830.4,850000,2461300,0,1462500,0
"305","NELSON MARQUEZELLI","PTB","SP",838500,1699999.9,1531024.7,0,0,975000
"306","NELSON MEURER","PP","PR",411801.97,947620.58,2216850,793750,828750,243750
"307","NELSON PELLEGRINO","PT","BA",0,1499991.82,1381800,0,0,1355780
"308","NEWTON CARDOSO JR","PMDB","MG",243750,0,887300,0,0,0
"309","NILMARIO MIRANDA","PT","MG",0,0,425946.9,0,0,0
"310","NILSON LEITAO","PSDB","MT",487500,250000,2024352,0,0,2151703.13
"311","NILSON PINTO","PSDB","PA",185515.2,0,7337671.74,0,0,0
"312","NILTO TATTO","PT","SP",0,630000,493100,0,1706250,0
"313","ODAIR CUNHA","PT","MG",0,0,3838601.88,0,0,0
"314","ONYX LORENZONI","DEM","RS",2388750,4214731,737550,250000,0,0
"315","ORLANDO SILVA","PCdoB","SP",0,0,0,0,253500,0
"316","OSMAR SERRAGLIO","PMDB","PR",97500,3210318,5733390.04,0,0,0
"317","OSMAR TERRA","PMDB","RS",1657500,2664331,1475100,585000,1621246.58,1462500
"318","OTAVIO LEITE","PSDB","RJ",0,1649323.08,0,943750,0,487500
"319","PADRE JOAO","PT","MG",926250,2369880,245850,0,828750,0
"320","PAES LANDIM","PTB","PI",0,1790272,2762200,0,0,0
"321","PASTOR EURICO","PHS","PE",0,1335000,2221050,0,0,0
"322","PAUDERNEY AVELINO","DEM","AM",231075,2200000,0,0,0,0
"323","PAULAO","PT","AL",0,1e+06,2465500,0,0,0
"324","PAULO ABI-ACKEL","PSDB","MG",0,0,4005190.6,0,0,0
"325","PAULO AZI","DEM","BA",0,0,245850,0,487500,0
"326","PAULO FEIJO","PR","RJ",780000,1049976.2,1778800,0,459450.23,0
"327","PAULO FOLETTO","PSB","ES",2673270,2799999.6,887799.45,0,0,0
"328","PAULO FREIRE","PR","SP",0,4481928,3293460,0,725400,487500
"329","PAULO MAGALHAES","PSD","BA",0,4e+05,4443150.74,0,0,0
"330","PAULO MALUF","PP","SP",0,4268072.4,1899508.01,0,243750,0
"331","PAULO PEREIRA DA SILVA","SD","SP",292500,1950980,2414650,0,731515.2,721500
"332","PAULO PIMENTA","PT","RS",751937.55,9e+05,3444700,250000,2193750,731250
"333","PAULO TEIXEIRA","PT","SP",0,0,1229250,243750,1278396.6,0
"334","PEDRO CHAVES","PMDB","GO",3190551.98,999421.74,0,0,243750,243750
"335","PEDRO CUNHA LIMA","PSDB","PB",0,0,1950643,0,585000,0
"336","PEDRO FERNANDES","PTB","MA",0,1e+06,2796236.44,0,456537.9,243750
"337","PEDRO UCZAI","PT","SC",0,2e+06,1229250,450000,0,996562.13
"338","PEDRO VILELA","PSDB","AL",0,410000,0,0,0,0
"339","PEPE VARGAS","PT","RS",0,6e+05,1722350,0,731250,1755000
"340","POMPEO DE MATTOS","PDT","RS",0,350000,1476500,0,97500,828750
"341","PR. MARCO FELICIANO","PSC","SP",0,1680000,3458066.48,0,0,0
"342","PROFESSOR VICTORIO GALLI","PSC","MT",0,0,1289412,0,0,0
"343","PROFESSORA DORINHA SEABRA REZENDE","DEM","TO",0,0,5345851.73,243750,0,536250
"344","RAFAEL MOTTA","PSB","RN",536250,0,2457344,0,0,0
"345","RAIMUNDO GOMES DE MATOS","PSDB","CE",2e+05,0,3573871.74,682500,0,438750
"346","RAQUEL MUNIZ","PSD","MG",0,0,0,0,487500,0
"347","REGINALDO LOPES","PT","MG",0,1747360,2568959,0,0,0
"348","REINHOLD STEPHANES","PSD","PR",0,0,2021850,0,0,292500
"349","RENATA ABREU","PTN","SP",0,1e+05,0,0,6e+05,670934
"350","RENATO MOLLING","PP","RS",840000,2849780,4589050,0,487500,2677077.33
"351","RENZO BRAZ","PP","MG",889577.33,3832260,2804650,0,0,487500
"352","RICARDO BARROS","PP","PR",243750,949996,0,0,0,0
"353","RICARDO IZAR","PP","SP",0,1029120,2955800,1e+05,497250,0
"354","RICARDO TEOBALDO","PTN","PE",0,0,1480700,0,1500000,1255000
"355","RICARDO TRIPOLI","PSDB","SP",0,948435,493100,0,0,0
"356","ROBERTO ALVES","PRB","SP",0,5e+05,987600,0,487500,0
"357","ROBERTO BALESTRA","PP","GO",2632500,3e+05,3496082.15,0,0,0
"358","ROBERTO BRITTO","PP","BA",0,99999.72,3060158,0,243750,292500
"359","ROBERTO DE LUCENA","PV","SP",0,0,2071300,0,0,587000
"360","ROBERTO FREIRE","PPS","SP",0,1477044,0,0,0,0
"361","ROBERTO SALES","PRB","RJ",0,4e+05,0,0,1049950,0
"362","RODRIGO DE CASTRO","PSDB","MG",360750,1498860,1720950,0,0,487500
"363","RODRIGO GARCIA","DEM","SP",0,935000,0,1246100,0,1404268.13
"364","RODRIGO PACHECO","PMDB","MG",195000,1450000,0,0,487500,0
"365","ROMULO GOUVEIA","PSD","PB",0,0,1479300,0,0,0
"366","RONALDO BENEDET","PMDB","SC",1040208,2485544,2565800,0,243750,487500
"367","RONALDO CARLETTO","PP","BA",0,0,0,0,292500,0
"368","RONALDO FONSECA","PROS","DF",0,0,493100,0,0,0
"369","RONALDO LESSA","PDT","AL",0,1864021,0,0,0,1175000
"370","RONALDO NOGUEIRA","PTB","RS",1101750,850000,1475100,243750,0,0
"371","ROSANGELA GOMES","PRB","RJ",0,0,746285.98,0,999545,0
"372","RUBENS BUENO","PPS","PR",1561261.65,1120400,983400,0,243750,0
"373","RUBENS OTONI","PT","GO",0,0,5000921.74,0,0,0
"374","SAGUAS MORAES","PT","MT",0,1075447.35,3811498.77,633750,682500,975000
"375","SAMUEL MOREIRA","PSDB","SP",0,0,767220,0,0,0
"376","SANDES JUNIOR","PP","GO",0,2912368.66,3866546.79,0,0,0
"377","SANDRO ALEX","PSD","PR",702000,2700000,1094550.74,0,877500,0
"378","SARAIVA FELIPE","PMDB","MG",222565.2,2054361.25,245850,243750,1e+05,0
"379","SARNEY FILHO","PV","MA",0,0,1548469.51,0,0,0
"380","SERGIO BRITO","PSD","BA",0,3000272,2440299.01,0,682500,0
"381","SERGIO MORAES","PTB","RS",1769625,2622659,1728615.31,250000,2973750,243750
"382","SERGIO REIS","PRB","SP",0,1847638,0,0,0,0
"383","SERGIO SOUZA","PMDB","PR",1228500,0,511480,0,0,0
"384","SERGIO VIDIGAL","PDT","ES",0,2e+05,0,0,243750,0
"385","SERGIO ZVEITER","PMDB","RJ",0,999988.14,987600,0,0,0
"386","SIBA MACHADO","PT","AC",890000,2699999,493100,0,292500,0
"387","SILAS BRASILEIRO","PMDB","MG",195000,0,0,0,341250,0
"388","SILAS CAMARA","PRB","AM",0,2200000,0,0,0,0
"389","SILVIO COSTA","PTdoB","PE",0,499995.47,0,0,0,0
"390","SILVIO TORRES","PSDB","SP",146250,999999,245850,0,585000,0
"391","SIMAO SESSIM","PP","RJ",0,899999.36,6063915.18,0,975000,0
"392","SIMONE MORGADO","PMDB","PA",0,0,493100,0,0,241046.16
"393","SORAYA SANTOS","PMDB","RJ",0,0,317758.21,0,195000,735572.18
"394","SOSTENES CAVALCANTE","DEM","RJ",0,6200000,0,0,0,0
"395","STEFANO AGUIAR","PSD","MG",1116149.55,4900000,1657325.93,0,0,0
"396","SUBTENENTE GONZAGA","PDT","MG",0,1094109.77,455631.74,0,0,0
"397","TADEU ALENCAR","PSB","PE",0,164360,2376641.88,0,0,0
"398","TAKAYAMA","PSC","PR",341250,0,4047900,0,0,243750
"399","TENENTE LUCIO","PSB","MG",234000,0,0,0,0,0
"400","THIAGO PEIXOTO","PSD","GO",0,0,6279021.41,0,0,0
"401","TIA ERON","PRB","BA",0,0,0,0,1717500,90000
"402","TIRIRICA","PR","SP",487500,4998800,1328150,0,1706250,0
"403","TONINHO PINHEIRO","PP","MG",833085,0,2646631.96,0,0,0
"404","TONINHO WANDSCHEER","PROS","PR",0,0,0,0,439175.1,0
"405","VALADARES FILHO","PSB","SE",0,0,2061410,0,682500,355700
"406","VALDIR COLATTO","PMDB","SC",2094727.05,0,0,0,487500,243750
"407","VALMIR PRASCIDELLI","PT","SP",0,2e+05,245850,0,0,0
"408","VALTENIR PEREIRA","PMDB","MT",0,2999780,2876150.73,0,0,0
"409","VANDER LOUBET","PT","MS",0,8874908.25,0,0,0,0
"410","VANDERLEI MACRIS","PSDB","SP",0,1244940,3229098,0,1852500,0
"411","VENEZIANO VITAL DO REGO","PMDB","PB",0,0,541150,0,1950000,1365000
"412","VICENTE ARRUDA","PDT","CE",975000,3886401,2591702.48,0,390000,0
"413","VICENTE CANDIDO","PT","SP",0,0,836450,0,438750,0
"414","VICENTINHO","PT","SP",438750,4e+05,738950,0,2654593.5,0
"415","VINICIUS CARVALHO","PRB","SP",0,0,255740,0,487500,0
"416","VINICIUS GURGEL","PR","AP",0,1590272,0,0,0,0
"417","VITOR LIPPI","PSDB","SP",0,630000,2962800,0,585000,0
"418","WADSON RIBEIRO","PCdoB","MG",0,2e+05,0,0,780000,0
"419","WALDENOR PEREIRA","PT","BA",0,1199994.4,737550,0,361390.1,0
"420","WALDIR MARANHAO","PP","MA",487500,0,1973800,0,0,0
"421","WALNEY ROCHA","PEN","RJ",0,0,1975200,0,1175795.4,0
"422","WALTER ALVES","PMDB","RN",0,0,2263500,0,780000,1267500
"423","WASHINGTON REIS","PMDB","RJ",0,2499979.8,0,0,253500,0
"424","WELITON PRADO","PMB","MG",0,0,1015264.31,0,975000,253500
"425","WELLINGTON ROBERTO","PR","PB",0,1200000,983400,0,1438390.2,487500
"426","WEVERTON ROCHA","PDT","MA",685092.53,3922115,2468300,0,0,0
"427","WILSON FILHO","PTB","PB",321750,0,4955015.32,0,1950000,585000
"428","WLADIMIR COSTA","SD","PA",975000,0,0,0,842789.03,0
"429","WOLNEY QUEIROZ","PDT","PE",4039102.27,4380539.89,1234850,0,0,975000
"430","ZE CARLOS","PT","MA",0,0,0,0,828750,0
"431","ZE GERALDO","PT","PA",780000,3750088,2690771.74,0,0,0
"432","ZE SILVA","SD","MG",0,5e+05,245850,0,886125,0
"433","ZECA CAVALCANTI","PTB","PE",0,150000,592000,0,5e+05,0
"434","ZECA DIRCEU","PT","PR",731250,250000,3541269.92,0,982186.72,1645187.7
"435","ZENAIDE MAIA","PR","RN",0,2e+05,0,372645,0,0
"436","ABELARDO LUPION","DEM","PR",0,0,2766400,0,0,0
"437","ACELINO POPO","PRB","BA",0,0,2211160,0,487500,780000
"438","ADRIAN","PMDB","RJ",0,0,2100002.47,0,0,0
"439","AKIRA OTSUBO","PMDB","MS",0,0,1282900,0,0,0
"440","ALEXANDRE ROSO","PSB","RS",0,0,3410571.77,0,0,402077.33
"441","ALEXANDRE SANTOS","PMDB","RJ",0,0,1528837.03,0,0,0
"442","ALEXANDRE SILVEIRA","PSD","MG",2437500,342650,0,0,0,0
"443","ALEXANDRE TOLEDO","PSB","AL",0,1749855.39,493100,0,0,0
"444","ALINE CORREA","PP","SP",0,2312000,2913350,0,511655.62,0
"445","AMAURI TEIXEIRA","PT","BA",0,906000,394200,0,0,0
"446","ANDRE ZACHAROW","PMDB","PR",487500,0,2713393.05,0,0,0
"447","ANGELO VANHONI","PT","PR",0,0,2789502.47,0,0,975000
"448","ANTONIA LUCIA","PSC","AC",0,0,0,0,487500,0
"449","ANTONIO ANDRADE","PMDB","MG",2230702.5,599799.5,0,299775,0,0
"450","ANTONIO BALHMANN","PDT","CE",0,0,2325953.02,0,438750,390000
"451","ARMANDO VERGILIO","SD","GO",0,1900475,1726550,0,731250,0
"452","ARTUR BRUNO","PT","CE",243750,0,493100,0,1815827.32,0
"453","ASSIS MELO","PCdoB","RS",487500,5e+05,493100,0,1462500,0
"454","BETINHO ROSADO","PP","RN",0,0,1749101.74,0,624975,536250
"455","BETO ALBUQUERQUE","PSB","RS",0,2999986.56,0,0,0,0
"456","BIFFI","PT","MS",146250,0,1678500,0,1462500,0
"457","CAMILO COLA","PMDB","ES",0,1180080,0,0,0,0
"458","CANDIDO VACCAREZZA","PT","SP",0,0,1479300,0,0,0
"459","CARLOS ALBERTO LEREIA","PSDB","GO",0,1000375,0,0,0,0
"460","DELEGADO PROTOGENES","PCdoB","SP",0,0,0,0,987466,0
"461","DEVANIR RIBEIRO","PT","SP",158242.5,0,3707436.04,0,0,0
"462","DOMINGOS DUTRA","SD","MA",0,2e+06,2273300,0,1462500,0
"463","DR. ADILSON SOARES","PR","RJ",0,0,2297777.75,0,0,0
"464","DR. GRILO","SD","MG",0,2574775,2369400,0,0,0
"465","DR. LUIZ FERNANDO","PSD","AM",0,5448085,0,0,0,0
"466","DR. ROSINHA","PT","PR",0,0,789800,0,0,0
"467","DR. UBIALI","PSB","SP",0,43305,0,0,0,0
"468","DUDIMAR PAXIUBA","PROS","PA",817050,0,0,0,0,0
"469","EDSON EZEQUIEL","PMDB","RJ",0,0,3867950.74,0,0,0
"470","EDSON PIMENTA","PSD","BA",0,0,740350,0,0,0
"471","EDUARDO GOMES","SD","TO",292500,0,986200,0,1072500,487500
"472","EDUARDO SCIARRA","PSD","PR",828750,799997.76,984800,0,609155.62,0
"473","ELEUSES PAIVA","PSD","SP",0,1e+06,3860864.7,0,0,0
"474","ELIENE LIMA","PSD","MT",0,3e+05,3855700,0,0,0
"475","ELISEU PADILHA","PMDB","RS",0,0,1475100,0,0,0
"476","EMANUEL FERNANDES","PSDB","SP",0,0,493100,0,0,0
"477","EMILIANO JOSE","PT","BA",0,2e+05,1282900,0,243750,0
"478","ENIO BACCI","PDT","RS",0,2e+05,2154327.5,0,390000,0
"479","EUDES XAVIER","PT","CE",0,1e+06,3867568,0,0,0
"480","EURICO JUNIOR","PV","RJ",0,0,0,0,877500,0
"481","FABIO SOUTO","DEM","BA",0,0,1689239.97,0,0,2145000
"482","FABIO TRAD","PMDB","MS",0,0,1876300,0,0,0
"483","FATIMA PELAES","PMDB","AP",0,2e+06,0,0,562300,0
"484","FRANCISCO CHAGAS","PT","SP",0,0,344527.47,0,0,0
"485","GABRIEL CHALITA","PMDB","SP",0,4270010,1371910,0,487500,0
"486","GASTAO VIEIRA","PMDB","MA",0,290000,873642.48,0,1462500,390000
"487","GERALDO SIMOES","PT","BA",0,750000,1480700,0,390000,0
"488","GERALDO THADEU","PSD","MG",0,546770,590600,0,1170000,507000
"489","GIOVANNI QUEIROZ","PDT","PA",493539.15,0,295300,0,292500,682500
"490","GLADSON CAMELI","PP","AC",0,2990272,986200,0,0,0
"491","GUILHERME CAMPOS","PSD","SP",0,0,3853073.08,0,0,0
"492","GUSTAVO PETTA","PCdoB","SP",0,5e+05,0,0,2242500,0
"493","HELCIO SILVA","PT","SP",0,0,255740,0,0,0
"494","HELIO SANTOS","PSDB","MA",0,1e+06,0,362300,0,0
"495","HENRIQUE EDUARDO ALVES","PMDB","RN",0,0,1784050.74,0,292500,975000
"496","HENRIQUE OLIVEIRA","SD","AM",0,5448085,0,0,0,0
"497","HUGO NAPOLEAO","PSD","PI",0,3912479.63,1976600,0,0,0
"498","INOCENCIO OLIVEIRA","PR","PE",0,0,0,0,0,682500
"499","IRINY LOPES","PT","ES",156000,0,0,1e+05,243750,0
"500","IRIS DE ARAUJO","PMDB","GO",0,3e+05,0,0,97500,243750
"501","JAIRO ATAIDE","DEM","MG",0,0,3867950.74,0,0,0
"502","JANETE ROCHA PIETA","PT","SP",0,2e+05,1294768,0,292500,0
"503","JANIO NATAL","PRP","BA",0,0,295300,0,0,0
"504","JAQUELINE RORIZ","PMN","DF",0,0,1738714.7,0,0,0
"505","JOAO ANANIAS","PCdoB","CE",1170000,0,2074100,0,0,0
"506","JOAO DADO","SD","SP",0,1075693.6,269094.47,102300,1458884.7,0
"507","JOAO LYRA","PSD","AL",0,782000,0,0,0,0
"508","JOAO MAGALHAES","PMDB","MG",0,1e+06,1264080.74,0,1950000,0
"509","JOAO MAIA","PR","RN",0,0,3354200,0,0,0
"510","JOAO PAULO LIMA","PT","PE",0,5e+05,690900,0,0,0
"511","JOAO PIZZOLATTI","PP","SC",0,0,3855350.72,0,0,0
"512","JOSE ANIBAL","PSDB","SP",0,4534470,0,0,0,0
"513","JOSE AUGUSTO MAIA","PROS","PE",0,0,455900.74,0,487500,487500
"514","JOSE HUMBERTO","PSD","MG",975000,0,949001.73,7e+05,0,0
"515","JOSE LINHARES","PP","CE",0,0,3712600.74,0,0,0
"516","JULIO CAMPOS","DEM","MT",0,2e+06,0,0,243750,292500
"517","JUNIOR COIMBRA","PMDB","TO",682500,0,1392379.76,0,243750,0
"518","JUNJI ABE","PSD","SP",0,0,1133916.47,0,0,0
"519","LAEL VARELLA","DEM","MG",0,1801150,0,0,0,0
"520","LEANDRO VILELA","PMDB","GO",0,799991.1,0,0,195000,0
"521","LILIAM SA","PROS","RJ",0,0,0,2e+06,0,0
"522","LIRA MAIA","DEM","PA",975000,0,0,0,975000,0
"523","LUCI CHOINACKI","PT","SC",0,5312765.7,1717980,0,0,0
"524","LUIZ ALBERTO","PT","BA",0,0,0,0,0,585000
"525","LUIZ ARGOLO","SD","BA",0,3977475,0,0,0,0
"526","LUIZ CARLOS","PSDB","AP",0,4412201,0,0,0,0
"527","LUIZ DE DEUS","DEM","BA",0,3e+05,987600,0,0,0
"528","LUIZ FERNANDO MACHADO","PSDB","SP",0,0,1291390,0,0,0
"529","LUIZ OTAVIO","PMDB","PA",109577.33,0,493100,0,0,0
"530","MAJOR FABIO","PROS","PB",0,362269,2406450.74,0,0,0
"531","MANOEL SALVIANO","PSD","CE",682500,5e+05,2186650.74,0,0,0
"532","MARCIO BITTAR","PSDB","AC",1462500,1500000,0,0,0,0
"533","MARCIO MACEDO","PT","SE",0,0,2341875,0,0,0
"534","MARCOS MEDRADO","SD","BA",0,0,3867950.74,0,0,0
"535","MARIA LUCIA PRANDI","PT","SP",0,700010,295300,0,0,0
"536","MARLLOS SAMPAIO","PMDB","PI",0,0,3212850,0,0,0
"537","MAURICIO TRINDADE","PROS","BA",0,0,1678500,0,0,0
"538","MIRIQUINHO BATISTA","PT","PA",0,1630300,0,0,1950000,0
"539","NARCIO RODRIGUES","PSDB","MG",0,1162138.64,3855700,0,0,0
"540","NEWTON CARDOSO","PMDB","MG",0,0,2028500.74,0,877500,0
"541","NEWTON LIMA","PT","SP",0,0,1010702.47,0,0,0
"542","NICE LOBAO","PSD","MA",0,0,2469700,0,487500,0
"543","NILDA GONDIM","PMDB","PB",0,2e+05,1181200,0,0,0
"544","ODILIO BALBINOTTI","PMDB","PR",1023750,1500000,0,0,0,0
"545","OSMAR JUNIOR","PCdoB","PI",0,1399500,0,0,0,0
"546","OTONIEL LIMA","PRB","SP",597068.55,0,2962800,0,0,0
"547","PADRE TON","PT","RO",0,250000,0,0,0,0
"548","PAULO BORNHAUSEN","PSB","SC",0,1799999.88,0,0,0,0
"549","PAULO RUBEM SANTIAGO","PDT","PE",0,1e+06,0,0,0,0
"550","PEDRO NOVAIS","PMDB","MA",0,1300000,2964200,0,0,0
"551","PENNA","PV","SP",0,3304365,3705950,0,0,0
"552","PERPETUA ALMEIDA","PCdoB","AC",682500,0,1629025.28,0,0,0
"553","PINTO ITAMARATY","PSDB","MA",0,3504388,0,0,792077.32,0
"554","PROFESSOR SETIMO","PMDB","MA",0,2100000,394200,0,682500,0
"555","RATINHO JUNIOR","PSC","PR",341250,1045000,295300,0,0,0
"556","REBECCA GARCIA","PP","AM",0,5448085,0,0,0,0
"557","ROBERTO DORNER","PSD","MT",0,999999.98,3581805.77,0,0,0
"558","ROBERTO SANTIAGO","PSD","SP",0,0,3864508.55,0,0,0
"559","ROGERIO CARVALHO","PT","SE",0,0,565652.47,0,487500,0
"560","RONALDO CAIADO","DEM","GO",2427950.86,849998.54,3196050,0,0,243750
"561","RONALDO ZULKE","PT","RS",0,3e+05,1428450,0,487500,487500
"562","ROSANE FERREIRA","PV","PR",3814577.33,65000,0,0,0,0
"563","ROSE DE FREITAS","PMDB","ES",1679062.13,3176015,1962779,0,0,0
"564","RUI COSTA","PT","BA",0,2638613.12,0,0,0,0
"565","RUY CARNEIRO","PSDB","PB",0,0,3220827.48,0,0,0
"566","SALVADOR ZIMBALDI","PROS","SP",0,662475,0,0,0,0
"567","SANDRA ROSADO","PSB","RN",0,0,738950,0,0,0
"568","SANDRO MABEL","PMDB","GO",0,250000,3036898,0,0,0
"569","SEBASTIAO BALA ROCHA","SD","AP",0,1e+06,0,0,0,0
"570","SUELI VIDIGAL","PDT","ES",0,0,0,1e+06,0,0
"571","TAUMATURGO LIMA","PT","AC",0,2750000,0,0,0,0
"572","VANDERLEI SIRAQUE","PT","SP",0,0,690900,0,0,243750
"573","VAZ DE LIMA","PSDB","SP",0,2479890.46,1922950,0,0,0
"574","VIEIRA DA CUNHA","PDT","RS",0,0,0,0,0,975000
"575","VILALBA","PP","PE",0,1e+06,493100,0,0,0
"576","VILMAR ROCHA","PSD","GO",0,0,2468300,0,0,0
"577","VILSON COVATTI","PP","RS",645827.32,1858958,737550,0,1950000,487500
"578","VITOR PAULO","PRB","RJ",0,915000,0,0,0,0
"579","VITOR PENIDO","DEM","MG",0,299275,689500,0,341250,0
"580","WELLINGTON FAGUNDES","PR","MT",0,1944228,394200,0,0,0
"581","WILLIAM DIB","PSDB","SP",585170,149999.68,2023250,0,299090,0
"582","ZE VIEIRA","PROS","MA",0,2500387,1931276.53,0,0,0
"583","ZOINHO","PR","RJ",0,0,2965600,0,0,0
